end_boundary_utc,return
2024-11-21 00:00:00+00:00,-0.15809552323637155
2024-11-22 00:00:00+00:00,-0.1559673891511194
2024-11-23 00:00:00+00:00,-0.15488847867066158
2024-11-24 00:00:00+00:00,-0.15421595583828196
2024-11-25 00:00:00+00:00,-0.15389453197870628
2024-11-26 00:00:00+00:00,-0.1529603375472104
2024-11-27 00:00:00+00:00,-0.14379167928350323
2024-11-28 00:00:00+00:00,-0.1434366950239866
2024-11-29 00:00:00+00:00,-0.14357041624068656
2024-11-30 00:00:00+00:00,-0.14387685469061096
2024-12-01 00:00:00+00:00,-0.14561115696032056
2024-12-02 00:00:00+00:00,-0.12569139317437117
2024-12-03 00:00:00+00:00,-0.1250759428481193
2024-12-04 00:00:00+00:00,-0.11772939072963517
2024-12-05 00:00:00+00:00,-0.11726067683947261
2024-12-06 00:00:00+00:00,-0.1173349010062823
2024-12-07 00:00:00+00:00,-0.1166624860045199
2024-12-08 00:00:00+00:00,-0.11965794846174171
2024-12-09 00:00:00+00:00,-0.1219869681608009
2024-12-10 00:00:00+00:00,-0.12175663459174335
2024-12-11 00:00:00+00:00,-0.12072563504594014
2024-12-12 00:00:00+00:00,-0.12019403393870243
2024-12-13 00:00:00+00:00,-0.12699020650962944
2024-12-14 00:00:00+00:00,-0.13159514851566523
2024-12-15 00:00:00+00:00,-0.13106199514105177
2024-12-16 00:00:00+00:00,-0.1295964780985157
2024-12-17 00:00:00+00:00,-0.1300683478831295
2024-12-18 00:00:00+00:00,-0.12925918894126143
2024-12-19 00:00:00+00:00,-0.14850166153141597
2024-12-20 00:00:00+00:00,-0.149432226002026
2024-12-21 00:00:00+00:00,-0.14927146286697002
2024-12-22 00:00:00+00:00,-0.12967589506684674
2024-12-23 00:00:00+00:00,-0.12925177658165243
2024-12-24 00:00:00+00:00,-0.12939462850274697
2024-12-25 00:00:00+00:00,-0.13023545106982615
2024-12-26 00:00:00+00:00,-0.13030537371757034
2024-12-27 00:00:00+00:00,-0.13009462436624764
2024-12-28 00:00:00+00:00,-0.1306177033482845
2024-12-29 00:00:00+00:00,-0.12982551179497204
2024-12-30 00:00:00+00:00,-0.13027058299540029
2024-12-31 00:00:00+00:00,-0.12919833963714944
2025-01-01 00:00:00+00:00,-0.12933390322776572
2025-01-02 00:00:00+00:00,-0.12673424719300386
2025-01-03 00:00:00+00:00,-0.1377670568208097
2025-01-04 00:00:00+00:00,-0.13816968224473947
2025-01-05 00:00:00+00:00,-0.13845978173574014
2025-01-06 00:00:00+00:00,-0.13815753261977037
2025-01-07 00:00:00+00:00,-0.13300821526260642
2025-01-08 00:00:00+00:00,-0.13377955292755916
2025-01-09 00:00:00+00:00,-0.1338922490164416
2025-01-10 00:00:00+00:00,-0.12706101712101958
2025-01-11 00:00:00+00:00,-0.11999695203574168
2025-01-12 00:00:00+00:00,-0.12046708467214196
2025-01-13 00:00:00+00:00,-0.11894961710424623
2025-01-14 00:00:00+00:00,-0.11901886513448834
2025-01-15 00:00:00+00:00,-0.11886181222588443
2025-01-16 00:00:00+00:00,-0.10593344141754091
2025-01-17 00:00:00+00:00,-0.10540560420123213
2025-01-18 00:00:00+00:00,-0.0937011468415363
2025-01-19 00:00:00+00:00,-0.09425355576366456
2025-01-20 00:00:00+00:00,-0.09329390175081964
2025-01-21 00:00:00+00:00,-0.0851788043014362
2025-01-22 00:00:00+00:00,-0.06363349605800328
2025-01-23 00:00:00+00:00,-0.06258303208014893
2025-01-24 00:00:00+00:00,-0.06163095578586786
2025-01-25 00:00:00+00:00,-0.05343599400424681
2025-01-26 00:00:00+00:00,-0.05277195070790197
2025-01-27 00:00:00+00:00,-0.05239716449347842
2025-01-28 00:00:00+00:00,-0.07299396750193798
2025-01-29 00:00:00+00:00,-0.07419408795247617
2025-01-30 00:00:00+00:00,-0.07318452402659992
2025-01-31 00:00:00+00:00,-0.09590367194648963
2025-02-01 00:00:00+00:00,-0.09428555561160534
2025-02-02 00:00:00+00:00,-0.09448215352633915
2025-02-03 00:00:00+00:00,-0.09367258545417934
2025-02-04 00:00:00+00:00,-0.11418477586019693
2025-02-05 00:00:00+00:00,-0.11504742573664428
2025-02-06 00:00:00+00:00,-0.09522903837304986
2025-02-07 00:00:00+00:00,-0.09541472922756877
2025-02-08 00:00:00+00:00,-0.09644511938166478
2025-02-09 00:00:00+00:00,-0.09514592329546168
2025-02-10 00:00:00+00:00,-0.09551160123951641
2025-02-11 00:00:00+00:00,-0.09220484375131
2025-02-12 00:00:00+00:00,-0.09137727077352797
2025-02-13 00:00:00+00:00,-0.09272332637186342
2025-02-14 00:00:00+00:00,-0.09341132722396162
2025-02-15 00:00:00+00:00,-0.08297872201822243
2025-02-16 00:00:00+00:00,-0.08328992665179602
2025-02-17 00:00:00+00:00,-0.07762196249556597
2025-02-18 00:00:00+00:00,-0.07740137394216628
2025-02-19 00:00:00+00:00,-0.07702152583982969
2025-02-20 00:00:00+00:00,-0.07629216854631948
2025-02-21 00:00:00+00:00,-0.081353611580117
2025-02-22 00:00:00+00:00,-0.08083488904894498
2025-02-23 00:00:00+00:00,-0.07949772757817519
2025-02-24 00:00:00+00:00,-0.08932116798848322
2025-02-25 00:00:00+00:00,-0.0704799939125208
2025-02-26 00:00:00+00:00,-0.0912127452728162
2025-02-27 00:00:00+00:00,-0.1016963709596359
2025-02-28 00:00:00+00:00,-0.08092169059948351
2025-03-01 00:00:00+00:00,-0.1016790672862048
2025-03-02 00:00:00+00:00,-0.10050836213607717
2025-03-03 00:00:00+00:00,-0.09947758184815214
2025-03-04 00:00:00+00:00,-0.10078225393264151
2025-03-05 00:00:00+00:00,-0.12092622250623764
2025-03-06 00:00:00+00:00,-0.13382006811530767
2025-03-07 00:00:00+00:00,-0.13311480681093468
2025-03-08 00:00:00+00:00,-0.13329769098508648
2025-03-09 00:00:00+00:00,-0.13276795403924269
2025-03-10 00:00:00+00:00,-0.12864632202237303
2025-03-11 00:00:00+00:00,-0.1285532836348099
2025-03-12 00:00:00+00:00,-0.1289358509354771
2025-03-13 00:00:00+00:00,-0.12987684839082447
2025-03-14 00:00:00+00:00,-0.13974764416295826
2025-03-15 00:00:00+00:00,-0.13939969334090307
2025-03-16 00:00:00+00:00,-0.14574733331479195
2025-03-17 00:00:00+00:00,-0.14640724668917793
2025-03-18 00:00:00+00:00,-0.14582054717053805
2025-03-19 00:00:00+00:00,-0.14511988860584057
2025-03-20 00:00:00+00:00,-0.14510486126011046
2025-03-21 00:00:00+00:00,-0.14405441889726978
2025-03-22 00:00:00+00:00,-0.14886003150141502
2025-03-23 00:00:00+00:00,-0.14934272867351817
2025-03-24 00:00:00+00:00,-0.15701988683577217
2025-03-25 00:00:00+00:00,-0.15705680843596248
2025-03-26 00:00:00+00:00,-0.1567156389542541
2025-03-27 00:00:00+00:00,-0.16830490400964526
2025-03-28 00:00:00+00:00,-0.16832657968803122
2025-03-29 00:00:00+00:00,-0.18771375173260096
2025-03-30 00:00:00+00:00,-0.1873347579580097
2025-03-31 00:00:00+00:00,-0.18756450228094024
2025-04-01 00:00:00+00:00,-0.1877006171859218
2025-04-02 00:00:00+00:00,-0.20576082832645326
2025-04-03 00:00:00+00:00,-0.18781243256949187
2025-04-04 00:00:00+00:00,-0.18728592437966252
2025-04-05 00:00:00+00:00,-0.18681319042005085
2025-04-06 00:00:00+00:00,-0.19055667281404354
2025-04-07 00:00:00+00:00,-0.20914589488029223
2025-04-08 00:00:00+00:00,-0.19915128468273824
2025-04-09 00:00:00+00:00,-0.19833709922167342
2025-04-10 00:00:00+00:00,-0.21691089949604003
2025-04-11 00:00:00+00:00,-0.21758188095662678
2025-04-12 00:00:00+00:00,-0.21629951602321051
2025-04-13 00:00:00+00:00,-0.21639035633902792
2025-04-14 00:00:00+00:00,-0.2173798051723188
2025-04-15 00:00:00+00:00,-0.2163376711113788
2025-04-16 00:00:00+00:00,-0.21494656278271185
2025-04-17 00:00:00+00:00,-0.21113854035816582
2025-04-18 00:00:00+00:00,-0.21184871400178873
2025-04-19 00:00:00+00:00,-0.21575383331848086
2025-04-20 00:00:00+00:00,-0.2220213062656372
2025-04-21 00:00:00+00:00,-0.2227746686383003
2025-04-22 00:00:00+00:00,-0.22176965787657255
2025-04-23 00:00:00+00:00,-0.22164850239003864
2025-04-24 00:00:00+00:00,-0.22991309424393913
2025-04-25 00:00:00+00:00,-0.22996631136112577
2025-04-26 00:00:00+00:00,-0.2297695836568695
2025-04-27 00:00:00+00:00,-0.2372402250707626
2025-04-28 00:00:00+00:00,-0.2371440960986274
2025-04-29 00:00:00+00:00,-0.23390578780535454
2025-04-30 00:00:00+00:00,-0.23441910445033365
2025-05-01 00:00:00+00:00,-0.2352313567403247
2025-05-02 00:00:00+00:00,-0.21739549873843467
2025-05-03 00:00:00+00:00,-0.2171475965884614
2025-05-04 00:00:00+00:00,-0.21735493097674907
2025-05-05 00:00:00+00:00,-0.21299818716811525
2025-05-06 00:00:00+00:00,-0.2134165654458341
2025-05-07 00:00:00+00:00,-0.2137963894165067
2025-05-08 00:00:00+00:00,-0.21346219620845475
2025-05-09 00:00:00+00:00,-0.21269680028425064
2025-05-10 00:00:00+00:00,-0.21333184219576873
2025-05-11 00:00:00+00:00,-0.21315164406016895
2025-05-12 00:00:00+00:00,-0.21377062006686087
2025-05-13 00:00:00+00:00,-0.20938509724043586
2025-05-14 00:00:00+00:00,-0.20967045981430033
2025-05-15 00:00:00+00:00,-0.20917812826506854
2025-05-16 00:00:00+00:00,-0.2087287864323062
2025-05-17 00:00:00+00:00,-0.20869010452383696
2025-05-18 00:00:00+00:00,-0.2176780018543003
2025-05-19 00:00:00+00:00,-0.21183150436545795
2025-05-20 00:00:00+00:00,-0.21304750469026934
2025-05-21 00:00:00+00:00,-0.2129216912487205
2025-05-22 00:00:00+00:00,-0.213644429754004
2025-05-23 00:00:00+00:00,-0.2283356088048798
2025-05-24 00:00:00+00:00,-0.22834402327344328
2025-05-25 00:00:00+00:00,-0.22724543597776004
2025-05-26 00:00:00+00:00,-0.22731526821244663
2025-05-27 00:00:00+00:00,-0.21909162610981092
2025-05-28 00:00:00+00:00,-0.21167100602411149
2025-05-29 00:00:00+00:00,-0.21158427477666697
2025-05-30 00:00:00+00:00,-0.21210176424027216
2025-05-31 00:00:00+00:00,-0.22535839396806068
2025-06-01 00:00:00+00:00,-0.22899141088378505
2025-06-02 00:00:00+00:00,-0.2241017260113406
2025-06-03 00:00:00+00:00,-0.2243487527912703
2025-06-04 00:00:00+00:00,-0.22499532570530778
2025-06-05 00:00:00+00:00,-0.22507642084648083
2025-06-06 00:00:00+00:00,-0.22495738199328708
2025-06-07 00:00:00+00:00,-0.22401060822975505
2025-06-08 00:00:00+00:00,-0.21377059473223636
2025-06-09 00:00:00+00:00,-0.21397364637614003
2025-06-10 00:00:00+00:00,-0.20918959987062058
2025-06-11 00:00:00+00:00,-0.22484134451545856
2025-06-12 00:00:00+00:00,-0.20727816072372474
2025-06-13 00:00:00+00:00,-0.22506083555108936
2025-06-14 00:00:00+00:00,-0.2422897350373494
2025-06-15 00:00:00+00:00,-0.24868210119438594
2025-06-16 00:00:00+00:00,-0.2387732232750861
2025-06-17 00:00:00+00:00,-0.2317531160484272
2025-06-18 00:00:00+00:00,-0.23002878305695995
2025-06-19 00:00:00+00:00,-0.21235181434268624
2025-06-20 00:00:00+00:00,-0.21285754702538284
2025-06-21 00:00:00+00:00,-0.2121200073566376
2025-06-22 00:00:00+00:00,-0.21157198464050142
2025-06-23 00:00:00+00:00,-0.22927378394695197
2025-06-24 00:00:00+00:00,-0.2193272213107993
2025-06-25 00:00:00+00:00,-0.20120123301359238
2025-06-26 00:00:00+00:00,-0.20143620025175635
2025-06-27 00:00:00+00:00,-0.20144611763034503
2025-06-28 00:00:00+00:00,-0.2017734360860356
2025-06-29 00:00:00+00:00,-0.20543984684085415
2025-06-30 00:00:00+00:00,-0.20532777432142313
2025-07-01 00:00:00+00:00,-0.20493282499312304
2025-07-02 00:00:00+00:00,-0.21440047932847273
2025-07-03 00:00:00+00:00,-0.21469901396270552
2025-07-04 00:00:00+00:00,-0.20148260564598464
2025-07-05 00:00:00+00:00,-0.18304907160306183
2025-07-06 00:00:00+00:00,-0.18197015613019318
2025-07-07 00:00:00+00:00,-0.19114964860939254
2025-07-08 00:00:00+00:00,-0.1906152761686658
2025-07-09 00:00:00+00:00,-0.19035572239154175
2025-07-10 00:00:00+00:00,-0.18290784150824457
2025-07-11 00:00:00+00:00,-0.20135875431466166
2025-07-12 00:00:00+00:00,-0.201348889345916
2025-07-13 00:00:00+00:00,-0.20102556354744683
2025-07-14 00:00:00+00:00,-0.19391657534988416
2025-07-15 00:00:00+00:00,-0.1913200631438987
2025-07-16 00:00:00+00:00,-0.1729475741916101
2025-07-17 00:00:00+00:00,-0.17393166622631173
2025-07-18 00:00:00+00:00,-0.17377910809258257
2025-07-19 00:00:00+00:00,-0.1922230325394293
2025-07-20 00:00:00+00:00,-0.19222581325675447
2025-07-21 00:00:00+00:00,-0.20703033955989414
2025-07-22 00:00:00+00:00,-0.20741445060656183
2025-07-23 00:00:00+00:00,-0.20719299238444788
2025-07-24 00:00:00+00:00,-0.2256433838082792
2025-07-25 00:00:00+00:00,-0.22491962753036232
2025-07-26 00:00:00+00:00,-0.2074103278525944
2025-07-27 00:00:00+00:00,-0.2113458701149168
2025-07-28 00:00:00+00:00,-0.22335083655390064
2025-07-29 00:00:00+00:00,-0.22466137834527988
2025-07-30 00:00:00+00:00,-0.2162851700646854
2025-07-31 00:00:00+00:00,-0.21568244053662866
2025-08-01 00:00:00+00:00,-0.21625668992774527
2025-08-02 00:00:00+00:00,-0.2162286721663842
2025-08-03 00:00:00+00:00,-0.19868242126671887
2025-08-04 00:00:00+00:00,-0.19992313669160766
2025-08-05 00:00:00+00:00,-0.21769282181708882
2025-08-06 00:00:00+00:00,-0.19995120749855522
2025-08-07 00:00:00+00:00,-0.19937735250419886
2025-08-08 00:00:00+00:00,-0.19986498113061302
2025-08-09 00:00:00+00:00,-0.20989680097894814
2025-08-10 00:00:00+00:00,-0.2271571657674074
2025-08-11 00:00:00+00:00,-0.22735582759744222
2025-08-12 00:00:00+00:00,-0.22639037988222066
2025-08-13 00:00:00+00:00,-0.2270587104753532
2025-08-14 00:00:00+00:00,-0.2389964760323875
2025-08-15 00:00:00+00:00,-0.23952326406488855
2025-08-16 00:00:00+00:00,-0.22825567307170536
2025-08-17 00:00:00+00:00,-0.22795350883314003
2025-08-18 00:00:00+00:00,-0.22275351302521396
2025-08-19 00:00:00+00:00,-0.22024532112998663
2025-08-20 00:00:00+00:00,-0.21948088049289538
2025-08-21 00:00:00+00:00,-0.22052001335560234
2025-08-22 00:00:00+00:00,-0.22054341791861132
2025-08-23 00:00:00+00:00,-0.2210600988089454
2025-08-24 00:00:00+00:00,-0.22226498175590192
2025-08-25 00:00:00+00:00,-0.22274787407123897
2025-08-26 00:00:00+00:00,-0.22266201265957786
2025-08-27 00:00:00+00:00,-0.2125780676977913
2025-08-28 00:00:00+00:00,-0.1951017413434547
2025-08-29 00:00:00+00:00,-0.1958699985515242
2025-08-30 00:00:00+00:00,-0.19580188502308193
2025-08-31 00:00:00+00:00,-0.19495960984479543
2025-09-01 00:00:00+00:00,-0.19406374019034034
2025-09-02 00:00:00+00:00,-0.18039186259482187
2025-09-03 00:00:00+00:00,-0.18031043764984866
2025-09-04 00:00:00+00:00,-0.18002423875839568
2025-09-05 00:00:00+00:00,-0.1795780038778757
2025-09-06 00:00:00+00:00,-0.17989569511809178
2025-09-07 00:00:00+00:00,-0.17996279663616177
2025-09-08 00:00:00+00:00,-0.1792197121805662
2025-09-09 00:00:00+00:00,-0.18194097475149573
2025-09-10 00:00:00+00:00,-0.18485585533226168
