trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
22,869765.0,869770.0,-1.0,387.0,0.9434,0.9390000000000001,0.1825479,0.1816965,0.0,1.7027999999999843,1.3385555999999843,9951.050395779335,2.0,9949.711840179336,0.03669410791633735,1632701460.0,2021-09-27 00:05:00+00:00,2021-09-27 00:05:00+00:00,2021-09-27 00:10:00+00:00,2021-09-27 00:11:00+00:00,1.0702882034401997,0.9388103593542746,2021-09-28 00:00:00+00:00,0.03617074338899002,0.02725864112048867,target,minute interval; not exact exchange fill
23,871205.0,872057.0,-1.0,532.0,0.9212,0.9177000000000001,0.2450392,0.24410820000000003,-0.04931376128,1.8619999999999721,1.4221663612799722,9952.472562140616,2.0,9951.050395779335,0.04924891147248768,1632838680.0,2021-09-28 00:05:00+00:00,2021-09-28 00:05:00+00:00,2021-09-28 14:17:00+00:00,2021-09-28 14:18:00+00:00,1.013060705385771,0.9174846336808189,2021-09-29 00:00:00+00:00,0.0404456541409993,0.029101072420177912,target,minute interval; not exact exchange fill
24,872645.0,872653.0,-1.0,565.0,0.8955000000000001,0.8894000000000001,0.25297875000000003,0.2512555,0.0,3.446499999999997,2.9422657499999967,9955.414827890616,2.0,9952.472562140616,0.05083736698000771,1632874440.0,2021-09-29 00:05:00+00:00,2021-09-29 00:05:00+00:00,2021-09-29 00:13:00+00:00,2021-09-29 00:14:00+00:00,0.981998311126755,0.8891806226099754,2021-09-30 00:00:00+00:00,0.07305781243247865,0.060204065630470344,target,minute interval; not exact exchange fill
25,874085.0,874086.0,-1.0,479.0,0.9234,0.9229,0.2211543,0.22103455000000002,0.0,0.23949999999997362,-0.2026888500000264,9955.212139040617,2.0,9955.414827890616,0.044428947225870416,1632960420.0,2021-09-30 00:05:00+00:00,2021-09-30 00:05:00+00:00,2021-09-30 00:06:00+00:00,2021-09-30 00:07:00+00:00,1.025785078689398,0.9226883776996155,2021-10-01 00:00:00+00:00,0.00695044931833559,-0.004132926451946676,target,minute interval; not exact exchange fill
26,875525.0,875530.0,-1.0,489.0,0.9562,0.9498000000000001,0.23379090000000002,0.23222610000000005,0.0,3.1295999999999813,2.6635829999999814,9957.875722040617,2.0,9955.212139040617,0.04696854205309389,1633047060.0,2021-10-01 00:05:00+00:00,2021-10-01 00:05:00+00:00,2021-10-01 00:10:00+00:00,2021-10-01 00:11:00+00:00,1.056409741360227,0.9495655935484414,2021-10-02 00:00:00+00:00,0.06620520481845939,0.054355993000914676,target,minute interval; not exact exchange fill
27,876965.0,876965.0,-1.0,393.0,1.0396,1.0382,0.20428140000000003,0.2040063,0.0,0.5502000000000267,0.1419123000000266,9958.017634340616,2.0,9957.875722040617,0.04102911217255836,1633133160.0,2021-10-02 00:05:00+00:00,2021-10-02 00:05:00+00:00,2021-10-02 00:05:00+00:00,2021-10-02 00:06:00+00:00,1.164628521399375,1.0379563175645214,2021-10-03 00:00:00+00:00,0.013146459840377272,0.0028881410094150966,target,minute interval; not exact exchange fill
28,878405.0,878446.0,-1.0,443.0,1.0450000000000002,1.0324,0.23146750000000005,0.2286766,0.0,5.581800000000074,5.121655900000074,9963.139290240617,2.0,9958.017634340616,0.04648867043612681,1633222020.0,2021-10-03 00:05:00+00:00,2021-10-03 00:05:00+00:00,2021-10-03 00:46:00+00:00,2021-10-03 00:47:00+00:00,1.1555221302884844,1.0321308388339752,2021-10-04 00:00:00+00:00,0.11643967712560352,0.10460619940841646,target,minute interval; not exact exchange fill
29,879845.0,879863.0,-1.0,413.0,1.0567,1.052,0.21820855,0.21723800000000001,0.0,1.9410999999999696,1.5056534499999696,9964.644943690617,2.0,9963.139290240617,0.04380317159948691,1633307040.0,2021-10-04 00:05:00+00:00,2021-10-04 00:05:00+00:00,2021-10-04 00:23:00+00:00,2021-10-04 00:24:00+00:00,1.1754143507122632,1.0517172811403468,2021-10-05 00:00:00+00:00,0.04197233805144725,0.03070942963615375,target,minute interval; not exact exchange fill
30,881285.0,881285.0,-1.0,409.0,1.0408,1.0398,0.2128436,0.21263910000000003,0.0,0.40899999999995496,-0.016482700000045064,9964.628460990616,2.0,9964.644943690617,0.04271975593766994,1633392360.0,2021-10-05 00:05:00+00:00,2021-10-05 00:05:00+00:00,2021-10-05 00:05:00+00:00,2021-10-05 00:06:00+00:00,1.1608221648219728,1.0394938854875548,2021-10-06 00:00:00+00:00,0.010882277572500484,-0.0003357713140725849,target,minute interval; not exact exchange fill
31,882725.0,882726.0,-1.0,392.0,1.0826,1.0809,0.2121896,0.2118564,0.0,0.6664000000000136,0.24235400000001367,9964.870814990616,2.0,9964.628460990616,0.04258856229927223,1633478820.0,2021-10-06 00:05:00+00:00,2021-10-06 00:05:00+00:00,2021-10-06 00:06:00+00:00,2021-10-06 00:07:00+00:00,1.2079654327933966,1.080596561496861,2021-10-07 00:00:00+00:00,0.015980788790804838,0.004931582703654177,target,minute interval; not exact exchange fill
