trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
23,900005.0,900224.0,-1.0,489.0,1.0929,1.0888,0.26721405,0.2662116,0.0,2.0048999999999966,1.4714743499999967,9968.539059718127,2.0,9967.067585368126,0.053619391603660055,1634528700.0,2021-10-18 00:05:00+00:00,2021-10-18 00:05:00+00:00,2021-10-18 03:44:00+00:00,2021-10-18 03:45:00+00:00,1.2948867630249585,1.0885810774901008,2021-10-23 00:00:00+00:00,0.021382205671395964,0.014897758422061385,target,minute interval; not exact exchange fill
24,901445.0,902305.0,-1.0,635.0,1.0792000000000002,1.0776000000000001,0.34264600000000006,0.34213800000000005,-0.22803839076,1.016000000000029,0.559254390760029,9969.098314108887,2.0,9968.539059718127,0.06874547974328524,1634653560.0,2021-10-19 00:05:00+00:00,2021-10-19 00:05:00+00:00,2021-10-19 14:25:00+00:00,2021-10-19 14:26:00+00:00,1.2344469142596206,1.0773729247623318,2021-10-24 00:00:00+00:00,0.01176883448139208,0.005672998914021694,target,minute interval; not exact exchange fill
25,902885.0,902908.0,-1.0,588.0,1.0908,1.0889,0.3206952,0.3201366,0.0,1.1172000000000075,0.47636820000000746,9969.574682308887,2.0,9969.098314108887,0.06433785481804954,1634689740.0,2021-10-20 00:05:00+00:00,2021-10-20 00:05:00+00:00,2021-10-20 00:28:00+00:00,2021-10-20 00:29:00+00:00,1.2585030192639906,1.0885976819620504,2021-10-25 00:00:00+00:00,0.013132250376976093,0.004830861147017937,target,minute interval; not exact exchange fill
26,904325.0,904334.0,-1.0,629.0,1.1423,1.1414,0.35925335,0.3589703,0.0,0.5661000000000773,-0.15212364999992273,9969.422558658887,2.0,9969.574682308887,0.07206994509755743,1634775300.0,2021-10-21 00:05:00+00:00,2021-10-21 00:05:00+00:00,2021-10-21 00:14:00+00:00,2021-10-21 00:15:00+00:00,1.2988991688168592,1.1410798689860466,2021-10-26 00:00:00+00:00,0.007791427139567974,-0.0015443887846091821,target,minute interval; not exact exchange fill
27,905765.0,906602.0,-1.0,749.0,1.096,1.0814000000000001,0.41045200000000004,0.4049843000000001,-0.151268138814072,10.93539999999996,10.271231838814032,9979.6937904977,2.0,9969.422558658887,0.08234218132192705,1634911380.0,2021-10-22 00:05:00+00:00,2021-10-22 00:05:00+00:00,2021-10-22 14:02:00+00:00,2021-10-22 14:03:00+00:00,1.227297717613416,1.0811322639032774,2021-10-27 00:00:00+00:00,0.11323682061632016,0.10444401000407583,target,minute interval; not exact exchange fill
28,907205.0,907208.0,-1.0,630.0,1.087,1.0859,0.34240499999999996,0.34205850000000004,0.0,0.6929999999999237,0.008536499999923675,9979.702326997702,2.0,9979.6937904977,0.06862034190388196,1634947740.0,2021-10-23 00:05:00+00:00,2021-10-23 00:05:00+00:00,2021-10-23 00:08:00+00:00,2021-10-23 00:09:00+00:00,1.243634350260601,1.085615877619977,2021-10-28 00:00:00+00:00,0.008836646480929734,8.650720596941203e-05,target,minute interval; not exact exchange fill
29,908645.0,909051.0,-1.0,1147.0,1.0946,1.0852,0.6277531000000001,0.6223622,0.0,10.781800000000086,9.531684700000087,9989.234011697703,2.0,9979.702326997702,0.12580597685799985,1635058320.0,2021-10-24 00:05:00+00:00,2021-10-24 00:05:00+00:00,2021-10-24 06:51:00+00:00,2021-10-24 06:52:00+00:00,1.1798629363330884,1.0849310855242902,2021-10-29 00:00:00+00:00,0.11340114346915328,0.09746438906978085,target,minute interval; not exact exchange fill
30,910085.0,913440.0,-1.0,871.0,1.0802,1.0779,0.4704271,0.46942545,-4.237602306137591,2.0032999999999728,5.301049756137564,9994.535061453838,2.0,9989.234011697703,0.09418682142176572,1635321660.0,2021-10-25 00:05:00+00:00,2021-10-25 00:05:00+00:00,2021-10-27 08:00:00+00:00,2021-10-27 08:01:00+00:00,1.193155522647923,1.0776429395686824,2021-10-30 00:00:00+00:00,0.022637763708888207,0.053881075529175884,target,minute interval; not exact exchange fill
31,914405.0,914451.0,-1.0,789.0,0.999,0.9890000000000001,0.3941055,0.3901605,0.0,7.88999999999992,7.105733999999919,10001.640795453839,2.0,9994.535061453838,0.07886419879999343,1635382320.0,2021-10-28 00:05:00+00:00,2021-10-28 00:05:00+00:00,2021-10-28 00:51:00+00:00,2021-10-28 00:52:00+00:00,1.1240655939773194,0.988771496194932,2021-11-02 00:00:00+00:00,0.08178511355347615,0.07201021251002998,target,minute interval; not exact exchange fill
32,915845.0,923040.0,-1.0,739.0,1.0623,1.1364,0.39251985,0.41989980000000005,-4.502815498701573,-54.75990000000004,-51.06950415129847,9950.57129130254,4.0,10001.640795453839,0.07849109121743636,1635897600.0,2021-10-29 00:05:00+00:00,2021-10-29 00:05:00+00:00,2021-11-03 00:00:00+00:00,2021-11-03 00:00:00+00:00,1.1958680644524389,1.0479850400240478,2021-11-03 00:00:00+00:00,0.10717352261288117,-0.5173858775945422,timeout,minute interval; not exact exchange fill
33,924485.0,924522.0,-1.0,553.0,1.2136,1.2037,0.33556040000000004,0.33282305,0.0,5.474700000000011,4.806316550000011,9955.377607852539,2.0,9950.57129130254,0.06744545417071723,1635986580.0,2021-11-04 00:05:00+00:00,2021-11-04 00:05:00+00:00,2021-11-04 00:42:00+00:00,2021-11-04 00:43:00+00:00,1.3913930868541347,1.2034262479767401,2021-11-09 00:00:00+00:00,0.05722242750420687,0.04888463412039521,target,minute interval; not exact exchange fill
34,925925.0,925932.0,-1.0,641.0,1.1966,1.1936,0.3835103,0.38254879999999997,0.0,1.9230000000000729,1.156940900000073,9956.53454875254,2.0,9955.377607852539,0.07704585704463832,1636071180.0,2021-11-05 00:05:00+00:00,2021-11-05 00:05:00+00:00,2021-11-05 00:12:00+00:00,2021-11-05 00:13:00+00:00,1.3498876533021844,1.193271825380292,2021-11-10 00:00:00+00:00,0.021711954929253253,0.01177459476427639,target,minute interval; not exact exchange fill
