origin_utc,reference_price,horizon_sessions,sample_count,rv_daily_sigma,projection_sigma,latest_sample_origin_utc,latest_matured_session_utc,low_q0.050000,high_q0.050000,low_q0.100000,high_q0.100000,low_q0.250000,high_q0.250000,low_q0.500000,high_q0.500000,low_q0.750000,high_q0.750000,low_q0.900000,high_q0.900000,low_q0.950000,high_q0.950000,low_q0.973684,high_q0.973684,low_q0.026316,high_q0.026316,mean_low_proxy,mean_high_proxy,terminal_median,historical_terminal_up_rate,train_mean_low_hit,train_mean_high_hit,training_near_low_hit,training_near_high_hit
2022-12-21 00:00:00+00:00,1216.21,5,28,0.030460471882326156,0.06811168575560227,2022-12-14 00:00:00+00:00,2022-12-18 00:00:00+00:00,1021.3108132957709,1223.3214608368849,1037.7127761241618,1228.2023969823754,1095.6282010260463,1242.581824510128,1168.4313111530216,1264.4661092631832,1195.152325094235,1295.3908505870882,1208.1832054274726,1353.2690186336285,1212.4865385723547,1405.587175662708,1213.4680792129168,1458.2200323027575,1018.4625093620111,1222.3162588328835,1145.3804259433552,1285.0007353358576,1221.609698695093,0.5,0.32142857142857145,0.35714285714285715,0.9642857142857143,0.9642857142857143
2022-12-22 00:00:00+00:00,1213.21,5,28,0.030347042892293022,0.06785805082326903,2022-12-15 00:00:00+00:00,2022-12-19 00:00:00+00:00,1014.4340830117891,1222.136653872375,1028.1820984611593,1224.135580596896,1129.5425585116375,1235.466671592579,1166.7954850188592,1264.2344724875188,1199.0208509832053,1290.0836353808525,1208.6165259412319,1330.5058168105409,1210.6834102207442,1347.0557022659364,1211.113570559604,1414.4136075907572,966.9251977308824,1220.097269766665,1141.4757781732217,1277.539122450918,1214.8431182025697,0.5,0.2857142857142857,0.39285714285714285,0.9642857142857143,0.9642857142857143
2022-12-23 00:00:00+00:00,1217.39,5,28,0.030104585755411736,0.0673159001835725,2022-12-16 00:00:00+00:00,2022-12-20 00:00:00+00:00,987.8968067410476,1222.1650352996237,1063.488258969085,1223.2526194473653,1108.3865619373432,1231.2694902507492,1171.3505183573466,1255.8769194460262,1187.5891847468042,1287.2871945574263,1206.5791934124459,1331.2173101301921,1210.609243728631,1460.6084096080613,1213.1793430363591,1561.635377668608,923.4084237400639,1220.6817433271124,1139.9275935315547,1282.3448310669182,1208.4979729154547,0.39285714285714285,0.32142857142857145,0.2857142857142857,0.9642857142857143,0.9642857142857143
2022-12-24 00:00:00+00:00,1219.5,5,28,0.0285615602357028,0.06386559023048638,2022-12-17 00:00:00+00:00,2022-12-21 00:00:00+00:00,943.5726231605967,1226.146795465221,1098.7404336715613,1228.6951173270277,1147.785328139496,1234.570217739329,1174.0012822076944,1258.0521825845121,1182.8228292304352,1274.7444171986288,1200.7563890810245,1298.9597429026774,1203.7962742699187,1415.2448574892699,1206.1729022444745,1536.4698494244376,867.4369849204838,1223.7976366764144,1146.9002235969695,1279.1033364425798,1205.3913323566383,0.4642857142857143,0.25,0.21428571428571427,0.9642857142857143,0.9642857142857143
2022-12-25 00:00:00+00:00,1219.96,5,28,0.02756805622444202,0.06164404772538856,2022-12-18 00:00:00+00:00,2022-12-22 00:00:00+00:00,983.5166568865784,1222.5794011105954,1071.3957916413249,1225.8303547572345,1135.8626521709803,1233.4410061036176,1187.8900515013288,1261.6265092702713,1197.831602073692,1300.8667766014403,1202.1774158162048,1322.6677842573094,1208.010430465147,1350.9756718509566,1209.6753389902162,1446.7863473737243,921.7642359082646,1221.5656000231802,1149.4719463703666,1279.336977375206,1230.8354941318612,0.5714285714285714,0.32142857142857145,0.32142857142857145,0.9642857142857143,0.9642857142857143
2022-12-26 00:00:00+00:00,1217.96,5,28,0.027383382819578576,0.06123110543847756,2022-12-19 00:00:00+00:00,2022-12-23 00:00:00+00:00,1006.6944118232555,1230.3168519680537,1069.5653221248128,1236.2118067376994,1121.1222414775457,1242.2898296908693,1163.0643542505713,1267.3159213761596,1195.8743245371622,1293.0362919021504,1204.445621180095,1321.8347043840456,1213.0785316094684,1358.3313182414229,1215.6288714181946,1426.3048880908714,965.013695213629,1227.7721354287155,1145.1801521515067,1282.25343468683,1238.6366707345799,0.5714285714285714,0.35714285714285715,0.32142857142857145,0.9642857142857143,0.9642857142857143
2022-12-27 00:00:00+00:00,1227.57,5,28,0.02734990064241222,0.0611562370142989,2022-12-20 00:00:00+00:00,2022-12-24 00:00:00+00:00,1057.3673070099396,1244.4923243362375,1073.4464079780685,1245.5273950576636,1135.7999488616608,1251.6675996220904,1180.4702208810336,1269.0010661129356,1197.2629092723175,1294.157309221719,1214.8589107049377,1331.9310961689284,1219.9683507118098,1415.490380845029,1222.696318986648,1533.8105737793455,1011.8009087186527,1241.6268344443706,1157.2120053052802,1297.210800554947,1226.4157366223576,0.5,0.35714285714285715,0.25,0.9642857142857143,0.9642857142857143
2022-12-28 00:00:00+00:00,1211.29,5,28,0.026576750070863502,0.05942741977947315,2022-12-21 00:00:00+00:00,2022-12-25 00:00:00+00:00,1048.9886452714024,1217.467347972115,1076.4864880758223,1222.317102124456,1121.4911768362138,1234.1749028020768,1173.2354426357106,1253.1185951916027,1192.9711810320537,1279.8169689462077,1204.3120139428324,1329.5687481683485,1208.053791320111,1374.3079186315051,1208.9070102296052,1419.102431957332,1041.1305122999404,1216.59446087252,1154.4244800602335,1270.9970659953137,1220.225756308329,0.5357142857142857,0.32142857142857145,0.35714285714285715,0.9642857142857143,0.9642857142857143
2022-12-29 00:00:00+00:00,1189.93,5,28,0.025096566718450685,0.05611762918431456,2022-12-22 00:00:00+00:00,2022-12-26 00:00:00+00:00,1036.9337787539557,1197.1659629470796,1040.8394527962867,1198.7850417460922,1138.5971941417667,1208.9739751799116,1156.598058105924,1231.1686487266036,1178.40924578107,1251.9498943230724,1186.2029341221166,1284.3034648322384,1187.8802712167046,1297.500564335369,1188.2292966147068,1350.9276798089204,1031.7178037152134,1195.513642471123,1140.2336903778169,1241.7895706754232,1197.9042595266803,0.5357142857142857,0.25,0.39285714285714285,0.9642857142857143,0.9642857142857143
2022-12-30 00:00:00+00:00,1200.35,5,28,0.025123997051080454,0.056178965272720156,2022-12-23 00:00:00+00:00,2022-12-27 00:00:00+00:00,1057.1765291373995,1204.2779876213108,1095.0845347565694,1205.1722889595912,1119.1161859883782,1212.3205006763849,1164.0291093866902,1231.9381288438894,1176.6706303864744,1257.5994385776376,1191.4474922600853,1293.3163242687983,1194.7677038997224,1397.4129407301125,1196.8841599709042,1477.6282168063547,1027.002379806196,1203.0580904130613,1146.8376941984402,1253.4098522374939,1195.8717051823605,0.39285714285714285,0.32142857142857145,0.2857142857142857,0.9642857142857143,0.9642857142857143
