origin_utc,open,high,low,close,volume,iv_daily_sigma,iv_available_ms
2020-03-12 00:00:00+00:00,194.77,195.81,95.0,106.71,7116256.717,,
2020-03-13 00:00:00+00:00,106.97,323.0,84.23,134.13,6584772.112,,
2020-03-14 00:00:00+00:00,134.1,134.67,121.16,122.55,1845475.252,,
2020-03-15 00:00:00+00:00,122.56,133.85,120.4,123.89,1802030.406,,
2020-03-16 00:00:00+00:00,123.87,124.4,100.11,111.06,3622097.906,,
2020-03-17 00:00:00+00:00,111.04,121.55,109.34,115.68,2053691.349,,
2020-03-18 00:00:00+00:00,115.67,118.59,109.78,118.16,1583517.4640000002,,
2020-03-19 00:00:00+00:00,118.12,143.34,115.5,136.42,2098800.654,,
2020-03-20 00:00:00+00:00,136.42,152.68,116.67,133.52,3128620.9560000002,,
2020-03-21 00:00:00+00:00,133.48,137.58,125.58,132.67,1933564.2989999999,,
2020-03-22 00:00:00+00:00,132.64,137.2,121.0,122.25,1724360.751,,
2020-03-23 00:00:00+00:00,122.27,137.67,119.0,135.96,1950909.2430000002,,
2020-03-24 00:00:00+00:00,135.96,143.44,132.41,138.38,1745190.832,,
2020-03-25 00:00:00+00:00,138.39,142.46,132.36,136.1,1448291.794,,
2020-03-26 00:00:00+00:00,136.11,139.8,133.18,138.41,1069528.365,,
2020-03-27 00:00:00+00:00,138.36,141.44,129.16,131.27,1024307.98,,
2020-03-28 00:00:00+00:00,131.24,132.93,124.52,130.95,1335630.33,,
2020-03-29 00:00:00+00:00,130.97,131.77,123.74,124.4,848667.9649999999,,
2020-03-30 00:00:00+00:00,124.42,135.13,123.93,132.04,1187536.733,,
2020-03-31 00:00:00+00:00,132.07,135.0,130.33,132.61,896493.378,,
2020-04-01 00:00:00+00:00,132.6,137.22,128.27,135.6,1143905.195,,
2020-04-02 00:00:00+00:00,135.6,149.97,135.0,141.3,1694646.358,,
2020-04-03 00:00:00+00:00,141.29,146.78,137.68,141.23,1307374.6770000001,,
2020-04-04 00:00:00+00:00,141.2,146.14,138.79,144.02,977437.997,,
2020-04-05 00:00:00+00:00,143.97,145.52,140.6,142.59,780295.149,,
2020-04-06 00:00:00+00:00,142.59,171.99,142.51,171.15,2847455.204,,
2020-04-07 00:00:00+00:00,171.15,176.16,162.13,164.55,3033756.235,,
2020-04-08 00:00:00+00:00,164.56,174.59,163.55,173.19,1871521.554,,
2020-04-09 00:00:00+00:00,173.18,173.44,164.89,169.46,1307817.881,,
2020-04-10 00:00:00+00:00,169.48,170.1,152.0,157.69,2238955.865,,
2020-04-11 00:00:00+00:00,157.69,161.25,153.78,158.19,1157138.0690000001,,
2020-04-12 00:00:00+00:00,158.21,164.9,154.85,158.72,1402479.422,,
2020-04-13 00:00:00+00:00,158.69,159.08,149.55,156.37,1787879.9139999999,,
2020-04-14 00:00:00+00:00,156.38,161.83,155.07,158.43,1342786.247,,
2020-04-15 00:00:00+00:00,158.42,161.32,151.9,152.64,1352926.571,,
2020-04-16 00:00:00+00:00,152.64,174.92,148.07,172.27,3073088.7010000004,,
2020-04-17 00:00:00+00:00,172.31,174.88,168.21,170.56,1341267.776,,
2020-04-18 00:00:00+00:00,170.56,189.68,170.28,187.48,2159964.294,,
2020-04-19 00:00:00+00:00,187.52,188.3,176.27,179.97,2326412.534,,
2020-04-20 00:00:00+00:00,179.96,186.47,166.6,170.19,3452651.9110000003,,
2020-04-21 00:00:00+00:00,170.19,174.63,167.92,170.66,2195445.346,,
2020-04-22 00:00:00+00:00,170.66,183.98,169.8,182.63,2433000.659,,
2020-04-23 00:00:00+00:00,182.63,194.4,178.0,185.53,3351092.377,,
2020-04-24 00:00:00+00:00,185.54,189.77,184.49,187.65,1865428.754,,
2020-04-25 00:00:00+00:00,187.67,198.53,185.7,194.25,2370712.4760000003,,
2020-04-26 00:00:00+00:00,194.22,199.99,192.27,197.46,2056340.656,,
2020-04-27 00:00:00+00:00,197.46,199.0,189.51,196.37,2321318.544,,
2020-04-28 00:00:00+00:00,196.39,197.72,192.28,196.31,1903267.4700000002,,
2020-04-29 00:00:00+00:00,196.34,219.5,196.31,215.5,3776173.4520000005,,
2020-04-30 00:00:00+00:00,215.5,227.5,201.9,206.22,4371759.191,,
2020-05-01 00:00:00+00:00,206.21,217.49,206.12,212.22,1902796.9129999997,,
2020-05-02 00:00:00+00:00,212.21,215.63,210.55,213.99,1246430.868,,
2020-05-03 00:00:00+00:00,213.99,219.84,205.0,209.95,1688070.2229999998,,
2020-05-04 00:00:00+00:00,209.94,210.83,195.1,206.73,2313604.876,,
2020-05-05 00:00:00+00:00,206.69,212.02,201.14,205.39,1814876.244,,
2020-05-06 00:00:00+00:00,205.36,211.13,198.04,199.06,1868966.3059999999,,
2020-05-07 00:00:00+00:00,199.09,215.63,196.14,212.25,2470908.382,,
2020-05-08 00:00:00+00:00,212.25,216.95,207.01,211.47,1698296.7689999999,,
2020-05-09 00:00:00+00:00,211.47,214.81,208.3,210.31,1444064.449,,
2020-05-10 00:00:00+00:00,210.32,210.36,177.89,187.52,3056317.4820000003,,
2020-05-11 00:00:00+00:00,187.48,193.44,175.5,185.69,2311029.1969999997,,
2020-05-12 00:00:00+00:00,185.68,192.31,185.4,189.64,1261058.639,,
2020-05-13 00:00:00+00:00,189.64,200.95,187.64,199.54,1373737.58,,
2020-05-14 00:00:00+00:00,199.53,205.95,195.56,203.13,1892551.0909999998,,
2020-05-15 00:00:00+00:00,203.1,203.99,191.21,194.71,1377796.9559999998,,
2020-05-16 00:00:00+00:00,194.72,203.46,193.2,200.39,1100996.922,,
2020-05-17 00:00:00+00:00,200.4,210.16,199.5,206.93,1067367.779,,
2020-05-18 00:00:00+00:00,206.9,217.2,206.9,214.83,1527493.953,,
2020-05-19 00:00:00+00:00,214.83,215.99,209.32,214.7,1209630.47,,
2020-05-20 00:00:00+00:00,214.69,215.85,206.02,209.96,1322809.976,,
2020-05-21 00:00:00+00:00,209.99,211.69,191.61,198.68,1812327.033,,
2020-05-22 00:00:00+00:00,198.69,209.22,195.95,207.28,1415586.292,,
2020-05-23 00:00:00+00:00,207.31,211.2,204.47,206.51,1093535.486,,
2020-05-24 00:00:00+00:00,206.46,210.54,199.24,199.7,1534431.1639999999,,
2020-05-25 00:00:00+00:00,199.7,205.66,197.72,204.1,992843.9269999999,,
2020-05-26 00:00:00+00:00,204.1,205.05,196.68,200.91,1053386.195,,
