origin_utc,reference_price,horizon_sessions,sample_count,rv_daily_sigma,projection_sigma,latest_sample_origin_utc,latest_matured_session_utc,low_q0.050000,high_q0.050000,low_q0.100000,high_q0.100000,low_q0.250000,high_q0.250000,low_q0.500000,high_q0.500000,low_q0.750000,high_q0.750000,low_q0.900000,high_q0.900000,low_q0.950000,high_q0.950000,low_q0.973684,high_q0.973684,low_q0.026316,high_q0.026316,mean_low_proxy,mean_high_proxy,terminal_median,historical_terminal_up_rate,train_mean_low_hit,train_mean_high_hit,training_near_low_hit,training_near_high_hit
2025-02-27 00:00:00+00:00,2335.33,5,196,0.03719937281483717,0.08318032633433362,2025-02-22 00:00:00+00:00,2025-02-26 00:00:00+00:00,1856.7737056248498,2348.0787490195917,1969.5155076015476,2353.291589579662,2098.932124315708,2402.9655017119817,2217.592137491732,2466.692034817849,2283.6423524529064,2542.715811915895,2311.3437218818003,2659.278301601879,2323.0333643833687,2757.2775223033927,2329.144224028234,2826.1269086413467,1792.5186074716867,2346.3741668498446,2166.40204436319,2500.221680612684,2341.010855274888,0.5306122448979592,0.3673469387755102,0.39285714285714285,0.9693877551020408,0.9693877551020408
2025-02-28 00:00:00+00:00,2306.66,5,196,0.037000806726022344,0.0827363190617174,2025-02-23 00:00:00+00:00,2025-02-27 00:00:00+00:00,1824.4069354393496,2319.184839139059,1932.8603339638732,2324.3060204400317,2072.240319235156,2373.103479501312,2190.4370944310085,2435.6977434641267,2255.8763965026583,2510.3594854745775,2283.0940087124,2624.8106308678857,2294.5789878963074,2721.013978494094,2300.5827351748967,2788.590718467429,1725.0175186417325,2317.510216093079,2137.972113839565,2468.5841514706785,2312.2411257722856,0.5306122448979592,0.3520408163265306,0.39285714285714285,0.9693877551020408,0.9693877551020408
2025-03-01 00:00:00+00:00,2236.59,5,196,0.03730660268814123,0.08342009962026019,2025-02-24 00:00:00+00:00,2025-02-28 00:00:00+00:00,1756.6671979256473,2248.835011207903,1861.468210399705,2253.841933494143,2005.2915282866152,2300.45187875738,2121.798649480536,2358.576347926334,2186.40784470193,2435.8046427830404,2213.5520082466187,2547.7953005543113,2224.7794205110813,2641.961759139307,2230.6487102560027,2708.124228541548,1647.5216763882568,2247.197770602587,2068.0259935706536,2394.315895914086,2241.7331287067864,0.5255102040816326,0.3520408163265306,0.39285714285714285,0.9693877551020408,0.9693877551020408
2025-03-02 00:00:00+00:00,2216.6,5,196,0.03727778699894027,0.08335566578038833,2025-02-25 00:00:00+00:00,2025-03-01 00:00:00+00:00,1741.2914376180224,2228.726169680656,1842.9669044266857,2233.6844835698316,1984.7106793065957,2279.8415225962644,2102.9202013833883,2337.4001890860577,2166.90433889515,2413.8750277424497,2193.785459683892,2524.7697679902785,2204.9039971679063,2618.0118115392597,2210.716353805945,2683.5232349016514,1633.1821619595812,2227.104821948985,2048.2159362768007,2372.684517045191,2221.693219321085,0.5255102040816326,0.35714285714285715,0.39285714285714285,0.9693877551020408,0.9693877551020408
2025-03-03 00:00:00+00:00,2517.12,5,196,0.04795145120119546,0.107222704505637,2025-02-26 00:00:00+00:00,2025-03-02 00:00:00+00:00,1845.3398791014633,2534.8468442067683,1973.3981599576111,2542.103205350206,2178.087858973603,2609.8732202092506,2350.4799319593717,2694.9350479964332,2444.7625974783778,2808.8811263160287,2483.843475992608,2975.950850099845,2500.0482877909385,3118.0651478194345,2508.5288836218474,3218.7875729489156,1699.296145306184,2532.475046900688,2274.7510804231706,2749.5804677080964,2525.0156536286418,0.5306122448979592,0.3622448979591837,0.39285714285714285,0.9693877551020408,0.9693877551020408
2025-03-04 00:00:00+00:00,2148.22,5,196,0.0592154250852404,0.1324097158071438,2025-02-27 00:00:00+00:00,2025-03-03 00:00:00+00:00,1464.1302369984944,2166.9181137399896,1590.6065567003145,2175.8927363252096,1795.0854110601895,2248.104077353655,1972.5379957224366,2343.75105597611,2072.220420063517,2460.834171426926,2113.203822724093,2641.6983087189924,2130.242126491554,2798.347628444696,2139.1692774820754,2910.3963805817334,1322.3948468586823,2164.414578542966,1897.6069393388093,2399.9230713569723,2156.5444560604437,0.5306122448979592,0.3673469387755102,0.3877551020408163,0.9693877551020408,0.9693877551020408
2025-03-05 00:00:00+00:00,2170.51,5,196,0.05770473856955513,0.12903171806537925,2025-02-28 00:00:00+00:00,2025-03-04 00:00:00+00:00,1493.86179309734,2188.9181176385514,1619.4796283807723,2197.75210806777,1819.7101435021075,2268.7984012703955,1996.2541817189965,2364.962899802182,2095.097787973029,2478.3248129327503,2133.244164923647,2655.0651887239896,2152.8070976314293,2808.3767667427637,2161.5981824801534,2917.903077592897,1352.7574966028824,2186.4536464412504,1920.721389076002,2418.884316830005,2178.7058516385914,0.5255102040816326,0.37244897959183676,0.3826530612244898,0.9693877551020408,0.9693877551020408
2025-03-06 00:00:00+00:00,2240.45,5,196,0.05842631838361958,0.130645219580819,2025-03-01 00:00:00+00:00,2025-03-05 00:00:00+00:00,1534.8112792210177,2259.689901919128,1665.5532772825384,2268.923782219077,1872.7263598951856,2343.2028628651715,2057.783143485398,2446.936616801125,2161.343021495008,2563.6611739559216,2201.5065451376367,2753.397072588595,2221.949103414881,2908.2251853186544,2231.136227417083,3023.0915071903087,1388.1157395783373,2257.1139541039593,1978.092274752282,2502.4653061973654,2248.523866887327,0.5255102040816326,0.37755102040816324,0.37755102040816324,0.9693877551020408,0.9693877551020408
2025-03-07 00:00:00+00:00,2201.34,5,196,0.058090774850320895,0.1298949214309527,2025-03-02 00:00:00+00:00,2025-03-06 00:00:00+00:00,1511.2987250546093,2220.135015677526,1639.2680168000254,2229.1550531435387,1841.9309666117886,2305.249123196632,2020.5997373111516,2407.5636673503127,2122.6772292914507,2520.718326551514,2163.2941932010517,2708.8096969829367,2183.2660274083732,2853.1805664905155,2192.2412582588568,2965.2130517536602,1367.6393138715782,2217.6186852283754,1943.4409474268618,2459.479016644633,2208.7599142559293,0.5204081632653061,0.3826530612244898,0.37244897959183676,0.9693877551020408,0.9693877551020408
2025-03-08 00:00:00+00:00,2140.72,5,196,0.058218909179067205,0.13018143850028074,2025-03-03 00:00:00+00:00,2025-03-07 00:00:00+00:00,1468.4622128708997,2158.477161540603,1590.7025732625798,2166.2384529089486,1786.7925042474496,2238.5426130503497,1962.2065284706425,2341.7272279474246,2062.2237174289953,2452.0359943059957,2103.640991885112,2635.420724634066,2123.1051352885124,2776.1981487405883,2131.8523408470155,2885.4529757768814,1328.58196544046,2154.708202350704,1887.0476792742784,2391.4821399860834,2147.1616737952686,0.5153061224489796,0.3877551020408163,0.37755102040816324,0.9693877551020408,0.9693877551020408
