trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,877985.0,878394.0,-1.0,0.623,3730.29,3805.9500000000003,1.161985335,1.1855534250000002,0.0,-47.136180000000195,-49.483718760000194,9950.51628124,1.0,10000.0,0.232397067,1630540500.0,2021-09-01 17:05:00+00:00,2021-09-01 17:05:00+00:00,2021-09-01 23:54:00+00:00,2021-09-01 23:55:00+00:00,3805.1850789263976,3105.362385772841,2021-09-06 00:00:00+00:00,8.344041066320253,-1.0605252192611672,stop,minute interval; not exact exchange fill
35,1102210.0,1102535.0,-1.0,0.628,2849.7200000000003,2926.67,0.89481208,0.91897438,0.0,-48.32459999999988,-50.138386459999886,10054.081742715327,1.0,10104.220129175326,0.17711650549185565,1643988960.0,2022-02-04 10:10:00+00:00,2022-02-04 10:10:00+00:00,2022-02-04 15:35:00+00:00,2022-02-04 15:36:00+00:00,2926.0776112319754,2438.5813070883655,2022-02-09 00:00:00+00:00,5.384383904606332,-1.0455826696496646,stop,minute interval; not exact exchange fill
36,1113035.0,1115679.0,1.0,0.599,2916.93,2836.67,0.8736205349999999,0.849582665,0.6106365138739702,-48.075739999999854,-50.409579713873825,10003.672163001453,1.0,10054.081742715327,0.17378425148233564,1644777600.0,2022-02-11 22:35:00+00:00,2022-02-11 22:35:00+00:00,2022-02-13 18:39:00+00:00,2022-02-13 18:40:00+00:00,2837.2428619716056,3289.5164841522005,2022-02-16 00:00:00+00:00,4.675616333710471,-1.0560829344556886,stop,minute interval; not exact exchange fill
37,1118310.0,1118859.0,-1.0,0.679,3113.62,3183.55,1.0570739900000001,1.080815225,0.10808048002297742,-47.4824700000002,-49.72843969502318,9953.943723306431,1.0,10003.672163001453,0.2113371915384402,1644968400.0,2022-02-15 14:30:00+00:00,2022-02-15 14:30:00+00:00,2022-02-15 23:39:00+00:00,2022-02-15 23:40:00+00:00,3182.904282642889,2653.107701154464,2022-02-20 00:00:00+00:00,6.646706601829842,-1.0570616909202373,stop,minute interval; not exact exchange fill
38,1121450.0,1122636.0,1.0,0.723,2909.82,2844.58,1.05189993,1.02831567,-0.27362869576947085,-47.16852000000017,-48.9751069042307,9904.9686164022,1.0,9953.943723306431,0.21135340107198985,1645195020.0,2022-02-17 18:50:00+00:00,2022-02-17 18:50:00+00:00,2022-02-18 14:36:00+00:00,2022-02-18 14:37:00+00:00,2845.1531025358004,3320.8059318767737,2022-02-22 00:00:00+00:00,6.355429872050058,-1.0475025048344953,stop,minute interval; not exact exchange fill
39,1125175.0,1127705.0,1.0,0.667,2616.9,2545.84,0.87273615,0.8490376400000001,0.06586161955588894,-47.39701999999997,-49.18465540955586,9855.783960992643,1.0,9904.9686164022,0.1762218910123121,1645499160.0,2022-02-20 08:55:00+00:00,2022-02-20 08:55:00+00:00,2022-02-22 03:05:00+00:00,2022-02-22 03:06:00+00:00,2546.3572620909954,2951.464425096825,2022-02-25 00:00:00+00:00,4.742719591184425,-1.0453253622353667,stop,minute interval; not exact exchange fill
40,1130660.0,1130737.0,1.0,0.755,2380.05,2317.7200000000003,0.8984688750000001,0.8749393000000001,0.0,-47.059149999999946,-48.832558174999946,9806.951402817642,1.0,9855.783960992643,0.18232316750366534,1645681080.0,2022-02-24 04:20:00+00:00,2022-02-24 04:20:00+00:00,2022-02-24 05:37:00+00:00,2022-02-24 05:38:00+00:00,2318.19290032009,2748.2889759331833,2022-03-01 00:00:00+00:00,5.953059193507227,-1.0456178083791736,stop,minute interval; not exact exchange fill
41,1130885.0,1131606.0,1.0,0.77,2378.4900000000002,2747.73,0.9157186500000002,1.0578760500000002,-0.11599628673218279,284.3147999999998,282.457201586732,10089.408604404372,2.0,9806.951402817642,0.18674889114611182,1645733220.0,2022-02-24 08:05:00+00:00,2022-02-24 08:05:00+00:00,2022-02-24 20:06:00+00:00,2022-02-24 20:07:00+00:00,2318.19290032009,2748.2889759331833,2022-03-01 00:00:00+00:00,6.132947984169654,6.083667978651416,target,minute interval; not exact exchange fill
42,1135925.0,1135999.0,1.0,0.8230000000000001,2614.71,2556.64,1.075953165,1.05205736,0.0,-47.79161000000014,-49.91962052500014,10039.488983879372,1.0,10089.408604404372,0.21328369326430288,1645996800.0,2022-02-27 20:05:00+00:00,2022-02-27 20:05:00+00:00,2022-02-27 21:19:00+00:00,2022-02-27 21:20:00+00:00,2557.152238670969,2978.94206329558,2022-03-04 00:00:00+00:00,6.328113791873063,-1.0538226921867186,stop,minute interval; not exact exchange fill
43,1136035.0,1138385.0,1.0,0.806,2615.71,2978.34,1.05413113,1.2002710200000002,0.08812380879013668,292.27978000000013,289.93725404121,10329.426237920581,2.0,10039.488983879372,0.20999696930643413,1646139960.0,2022-02-27 21:55:00+00:00,2022-02-27 21:55:00+00:00,2022-03-01 13:05:00+00:00,2022-03-01 13:06:00+00:00,2557.152238670969,2978.94206329558,2022-03-04 00:00:00+00:00,6.20297045262044,6.143056566462359,target,minute interval; not exact exchange fill
44,1142895.0,1143267.0,1.0,0.597,2668.29,2585.11,0.796484565,0.771655335,0.0,-49.6584599999999,-51.2265998999999,10278.19963802058,1.0,10329.426237920581,0.15421661313113563,1646432880.0,2022-03-04 16:15:00+00:00,2022-03-04 16:15:00+00:00,2022-03-04 22:27:00+00:00,2022-03-04 22:28:00+00:00,2585.627199959483,3014.56409406212,2022-03-09 00:00:00+00:00,4.188995459776272,-1.0380328268331307,stop,minute interval; not exact exchange fill
