trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
26,954115.0,954720.0,-1.0,2134.0,1.0242,1.0332000000000001,1.0928214,1.1024244,-0.661821086212,-19.206000000000255,-20.739424713788257,9540.454285138774,4.0,9561.193709852561,0.22859518030136258,1637798400.0,2021-11-24 13:55:00+00:00,2021-11-24 13:55:00+00:00,2021-11-25 00:00:00+00:00,2021-11-25 00:00:00+00:00,1.0449661052032964,0.9426355791868144,2021-11-25 00:00:00+00:00,3.9277669074043926,-0.4680014950736847,timeout,minute interval; not exact exchange fill
27,956660.0,957600.0,-1.0,1011.0,0.9768,0.9394,0.4937724,0.4748667,-0.190686198192,37.81139999999999,37.03344709819199,9577.487732236967,4.0,9540.454285138774,0.10351129731194297,1637971200.0,2021-11-26 08:20:00+00:00,2021-11-26 08:20:00+00:00,2021-11-27 00:00:00+00:00,2021-11-27 00:00:00+00:00,1.0223814817998875,0.7944740728004499,2021-11-27 00:00:00+00:00,4.0,0.8036270438248538,timeout,minute interval; not exact exchange fill
28,959205.0,959445.0,-1.0,2003.0,0.9009,0.9236000000000001,0.90225135,0.9249854000000002,0.0,-45.468100000000106,-47.295336750000104,9530.192395486965,1.0,9577.487732236967,0.18841085997178628,1638081960.0,2021-11-28 02:45:00+00:00,2021-11-28 02:45:00+00:00,2021-11-28 06:45:00+00:00,2021-11-28 06:46:00+00:00,0.923338964848387,0.814144140606452,2021-11-29 00:00:00+00:00,3.866303993064309,-1.0522878465892098,stop,minute interval; not exact exchange fill
29,960150.0,960215.0,-1.0,1969.0,0.9006000000000001,0.9236000000000001,0.8866407000000001,0.9092842000000001,0.0,-45.28700000000004,-47.082924900000044,9483.109470586965,1.0,9530.192395486965,0.18606984270745044,1638128160.0,2021-11-28 18:30:00+00:00,2021-11-28 18:30:00+00:00,2021-11-28 19:35:00+00:00,2021-11-28 19:36:00+00:00,0.923338964848387,0.8106441406064524,2021-11-29 00:00:00+00:00,3.9560226243073315,-1.051591405300772,stop,minute interval; not exact exchange fill
30,967420.0,967680.0,-1.0,2188.0,0.9314,0.9214,1.0189516,1.0080116000000001,-0.20160494778799998,21.88000000000002,20.05464174778802,9503.164112334754,4.0,9483.109470586965,0.21489820467862447,1638576000.0,2021-12-03 19:40:00+00:00,2021-12-03 19:40:00+00:00,2021-12-04 00:00:00+00:00,2021-12-04 00:00:00+00:00,0.9515588717813958,0.8517645128744169,2021-12-04 00:00:00+00:00,3.950394049287879,0.4546753062569157,timeout,minute interval; not exact exchange fill
31,967975.0,969120.0,-1.0,512.0,0.8098000000000001,0.8451000000000001,0.20730880000000002,0.21634560000000003,0.7746899544551424,-18.0736,-19.27194435445514,9483.8921679803,4.0,9503.164112334754,0.04362942648352687,1638662400.0,2021-12-04 04:55:00+00:00,2021-12-04 04:55:00+00:00,2021-12-05 00:00:00+00:00,2021-12-05 00:00:00+00:00,0.9011405833111352,0.4379376667554591,2021-12-05 00:00:00+00:00,4.071162234401978,-0.4120897300281037,timeout,minute interval; not exact exchange fill
32,969965.0,970560.0,-1.0,2192.0,0.8037000000000001,0.8043,0.8808552000000001,0.8815128,-0.34927989326400005,-1.3151999999998552,-2.728288106735855,9481.163879873566,4.0,9483.8921679803,0.18575816434816927,1638748800.0,2021-12-05 14:05:00+00:00,2021-12-05 14:05:00+00:00,2021-12-06 00:00:00+00:00,2021-12-06 00:00:00+00:00,0.8239979764947747,0.723508094020901,2021-12-06 00:00:00+00:00,3.9507340054188766,-0.061319264179872865,timeout,minute interval; not exact exchange fill
33,971010.0,971043.0,-1.0,2226.0,0.7639,0.7841,0.8502207,0.8727033000000001,-0.172601894136,-44.96519999999999,-46.51552210586399,9434.6483577677,1.0,9481.163879873566,0.1793494365823235,1638777840.0,2021-12-06 07:30:00+00:00,2021-12-06 07:30:00+00:00,2021-12-06 08:03:00+00:00,2021-12-06 08:04:00+00:00,0.7839188726165569,0.6848245095337724,2021-12-07 00:00:00+00:00,3.9500471370614134,-1.0438380504363314,stop,minute interval; not exact exchange fill
34,971135.0,971307.0,-1.0,1950.0,0.761,0.7841,0.741975,0.7644975,0.0,-45.045000000000016,-46.55147250000001,9388.0968852677,1.0,9434.6483577677,0.15728726113869837,1638793680.0,2021-12-06 09:35:00+00:00,2021-12-06 09:35:00+00:00,2021-12-06 12:27:00+00:00,2021-12-06 12:28:00+00:00,0.7839188726165569,0.6708245095337723,2021-12-07 00:00:00+00:00,3.934551754569454,-1.0416110076354348,stop,minute interval; not exact exchange fill
35,971390.0,971476.0,-1.0,2359.0,0.7653000000000001,0.7841,0.9026713500000001,0.92484595,0.0,-44.34919999999983,-46.17671729999983,9341.920167967699,1.0,9388.0968852677,0.1923012429529823,1638803820.0,2021-12-06 13:50:00+00:00,2021-12-06 13:50:00+00:00,2021-12-06 15:16:00+00:00,2021-12-06 15:17:00+00:00,0.7839188726165569,0.6918245095337722,2021-12-07 00:00:00+00:00,3.9462910552860175,-1.051336480093491,stop,minute interval; not exact exchange fill
